"Time / s","Vm1:Measured voltage","Vm2:Measured voltage"
0,0,0
3.9116343580661616e-18,0,0
1.0951674815520634e-05,0,0
1.0951674815523477e-05,0.039750827244672014,-0.039750827244672014
5.0716963848194461e-05,0.17123560375900826,-0.17123560375900826
5.0716963848197307e-05,0,-0.17123560375901695
8.8331837902850055e-05,0,-0.27897321930620372
8.8331837902852901e-05,0,0
9.9999999999997159e-05,0,0
0.0001,0,0
0.00011184332208287677,0,0
0.00011184332208288247,0,-0.33910439447048879
0.00014790972789393395,0,-0.42168139335542093
0.00014790972789393964,0.42168139335543309,-0.42168139335543309
0.00019024552456792793,0.50551937439243266,-0.50551937439243266
0.00019024552456793362,0,0
0.00019999999999999432,0,0
0.00020000000000000001,0,0
0.00020963260601929246,0,0
0.00020963260601930097,0.53978057217418818,-0.53978057217418818
0.00025358112800091186,0.60879802271148176,-0.60879802271148176
0.00025358112800092042,0,-0.60879802271149408
0.00028678862769967312,0,-0.65397354321232548
0.00028678862769968168,0,0
0.00029999999999999152,0,0
0.00030000000000000003,0,0
0.00031342955525420188,0,0
0.00031342955525421326,0,-0.68648596447400245
0.00034513038852012392,0,-0.72111341293777043
0.0003451303885201353,0.72111341293778208,-0.72111341293778208
0.00039143677925014412,0.76491067624352893,-0.76491067624352893
0.0003914367792501555,0,0
0.00039999999999998864,0,0
0.00040000000000000002,0,0
0.00040846990380550744,0,0
0.00040846990380552164,0.77928341881295737,-0.77928341881295737
0.00045643054518178076,0.81503212638488831,-0.81503212638488831
0.00045643054518179496,0,-0.81503212638489797
0.00048510371421957505,0,-0.83355732018337059
0.00048510371421958925,0,0
0.00049999999999998581,0,0
0.00050000000000000001,0,0
0.00051516373689389564,0,0
0.00051516373689391277,0,-0.85109383450669862
0.00054236948023192477,0,-0.86525723066200599
0.0005423694802319419,0.86525723066201443,-0.86525723066201443
0.00059246177046520256,0.88787563956233628,-0.88787563956233628
0.00059246177046521969,0,0
0.00059999999999998303,0,0
0.00060000000000000006,0,0
0.00060746845767286272,0,0
0.00060746845767288267,0.89393756506417543,-0.89393756506417543
0.00065925348964578372,0.91223802284766375,-0.91223802284766375
0.00065925348964580366,0,-0.91223802284767019
0.00068328386988946365,0,-0.91960745145242551
0.0006832838698894836,0,0
0.00069999999999998004,0,0
0.00069999999999999999,0,0
0.00071703915440278184,0,0
0.00071703915440280461,0,-0.92905531726232116
0.00073963746323292155,0,-0.93465180008006454
0.00073963746323294432,0.93465180008006987,-0.93465180008006987
0.00079331681208663944,0.94620767385945848,-0.94620767385945848
0.0007933168120866622,0,0
0.00079999999999997727,0,0
0.00080000000000000004,0,0
0.00080663256316008492,0,0
0.0008066325631601105,0.94879624185793543,-0.94879624185793543
0.00086203835830588038,0.95805977874327808,-0.95805977874327808
0.00086203835830590597,0,-0.95805977874328196
0.00088133634366338554,0,-0.96086454902876284
0.00088133634366341113,0,0
0.0008999999999999745,0,0
0.00090000000000000008,0,0
0.00091904847761188223,0,0
0.00091904847761191063,0,-0.96596625828631622
0.00093694470202938763,0,-0.96806628559014829
0.00093694470202941604,0.96806628559015151,-0.96806628559015151
0.0009939989249650998,0.9739023160191228,-0.9739023160191228
0.00099399892496512842,0,0
0.00099999999999997161,0,0
0.001,0,0
0.0010059658998240884,0,0
0.0010059658998241197,0.97503376770086103,-0.97503376770086103
0.0010647737241791929,0.97966508164430399,-0.97966508164430399
0.0010647737241792242,0,-0.9796650816443061
0.0010792688316737854,0,-0.9806596758874363
0.0010792688316738166,0,0
0.0010999999999999688,0,0
0.0011000000000000001,0,0
0.0011211837862370019,0,0
0.0011211837862370362,0,-0.98344067023756876
0.001134301430808999,0,-0.98416375553558189
0.0011343014308090333,0.98416375553558377,-0.98416375553558377
0.0011945058421400198,0.98706623597773469,-0.98706623597773469
0.0011945058421400541,0,0
